0.5712	0.9286
0.7405	1
1	0.7405
0.9927	0.7034
0.8871	0.5415
0.5723	0.4209
0.9281	0.8182
0.9024	0.5411
0.7444	0.4189
0.7273	0.4198
0.8591	0.7557
0.4961	0.6363
0.6613	0.7286
0.8025	0.4711
0.576	0.4619
0.6908	0.5734
0.9772	0.6682
0.5602	0.7116
0.4546	0.642
0.4118	0
0.613	0.5063
0.9577	0.6084
0.8545	0.518
0.7754	0.5357
0.5634	0.4963
0.5307	0.4048
0.6045	0.4836
0.615	0.4334
0.5701	0.3444
0.8771	0.6916
0	0.3692
0	0.5451
0.7061	0.4268
0.6515	0.9446
0.5248	0
0.606	0.3646
0.9101	0.5713
0.5175	0
0.6127	0.3553
0.6876	0.5709
0.8365	0.4973
0.4597	0.6588
0.5145	0.8741
0.7457	0.4197
0.8421	0.5018
0.9189	0.7777
0.9784	0.6457
0.7271	0.4244
0.5133	0.8728
0.7254	0.5789
0.6632	0.3701
0.491	0
0.7729	0.45
0.4767	0
0.538	0.6235
0.5612	0
0.5183	0
0.41	0.7304
0.591	0.4875
0.5962	0.3423
0	0
0.6216	0.3604
0.3755	0.3871
0	0.4542
0.6486	0.3943
0.5655	0
0.4365	0
0.6239	0.9671
0.7144	0.4116
0.6653	0.5273
0.4433	0.7658
0.7339	0.4122
0.3784	0
0.7578	0.5755
0.6296	0.361
0	0.5964
0.683	0.5129
0.6713	0.3896
0.8757	0.5308
0.8735	0.5139
0.4188	0
0.5044	0.8625
0.5035	0.3761
0.6197	0.512
0.9015	0.5402
0.8858	0.6606
0.4134	0
0.5333	0
0.4551	0
0.5343	0
0.8043	0.4855
0.5401	0.3974
0.4943	0
0.5256	0.3466
0.6649	0.3815
0.7732	0.4554
0.5958	0
0.5337	0.3986
0.7288	0.4207
0.4677	0.7499
3	2
