0.503	0.4117	0	0	0.3693	0.9286	0	0.4881	0	0.6027	0.5091	0.3914	0.5015	0	0.3708	0	0.5919	0.3813	0	0	0.4331	0.538	0	0.7875	0.6409	0.4109	0	0.3895	0	1	0	0.6986	0.378	0	0	0	0.4135	0.5593	0.5778	0.3588	0.3434	0.3889	0	0	0	0.4925	0.3933	0.411	0	0
0.6606	0.5411	0.4207	0.361	0.4855	1	0.3896	0.642	0	0.7777	0.6682	0.5139	0.6588	0	0.4875	0	0.7658	0.5018	0.4048	0	0.5709	0.7034	0.3871	0.9446	0.8182	0.5415	0	0.5129	0.3444	0.9286	0.4116	0.8741	0.4973	0.3604	0	0.4209	0.5451	0.7286	0.7499	0.4711	0.45	0.512	0.3646	0	0.3943	0.6457	0.518	0.5402	0.3986	0.4189
0.8858	0.9024	0.7288	0.6296	0.8043	0.7405	0.6713	0.4546	0.4551	0.9189	0.9772	0.8735	0.4597	0.5343	0.591	0.5958	0.4433	0.8421	0.5307	0.5248	0.6876	0.9927	0.3755	0.6515	0.9281	0.8871	0	0.683	0.5701	0.5712	0.7144	0.5145	0.8365	0.6216	0.4365	0.5723	0	0.6613	0.4677	0.8025	0.7729	0.6197	0.606	0.4188	0.6486	0.9784	0.8545	0.9015	0.5337	0.7444
0.8347	0.8531	0.7846	0.6832	0.7488	0.7034	0.6183	0.4889	0.4179	0.9574	0.9461	0.8213	0.4423	0.4903	0.6425	0.5472	0.4089	0.8925	0.487	0.5717	0.7431	1	0.3457	0.7059	0.9643	0.9317	0	0.7384	0.5234	0.538	0.7702	0.4858	0.8875	0.5713	0.401	0.5504	0	0.7161	0.5097	0.856	0.8278	0.6728	0.5567	0.385	0.703	0.9478	0.8009	0.8521	0.5812	0.689
0.6613	0.6803	0.6129	0.5247	0.5806	0.5415	0.4726	0.639	0	0.8117	0.794	0.6479	0.3399	0.3753	0.4918	0.4178	0.3761	0.7238	0.4029	0.4365	0.5756	0.9317	0.3685	0.5437	0.8234	1	0	0.5715	0.5329	0.4109	0.5997	0.3719	0.9928	0.4362	0	0.4203	0	0.8858	0.3897	0.6833	0.9668	0.5163	0.4251	0	0.5412	0.7965	0.6282	0.6792	0.4438	0.5295
0.4005	0.4125	0	0.3362	0.3517	0.4209	0	0	0	0.4459	0.4915	0.3922	0.3351	0.4909	0	0	0	0.3899	0	0.3804	0	0.5504	0.3726	0.5357	0.4542	0.4203	0	0	0.4175	0	0	0.4265	0.3865	0	0.3475	1	0	0	0.5723	0.5974	0.351	0	0	0	0.7764	0.4934	0.3801	0.4118	0	0.4535
0.7111	0.7306	0.6608	0.5673	0.6268	0.8182	0.5111	0.4039	0.3467	0.86	0.8433	0.6973	0.4135	0.405	0.7652	0.4515	0.488	0.7746	0.4024	0.4719	0.8647	0.9643	0	0.6627	1	0.8234	0	0.7979	0.5479	0.6409	0.647	0.5801	0.7687	0.4715	0.4534	0.4542	0.3427	0.5967	0.4762	0.7337	0.704	0.7969	0.5447	0	0.629	0.8457	0.6768	0.7295	0.6358	0.5724
0.6788	1	0.5315	0.4543	0.5967	0.5411	0.4859	0	0	0.7185	0.8118	0.6652	0.3337	0.3855	0.426	0.4295	0	0.6327	0.383	0.3789	0.4986	0.8531	0.52	0.4708	0.7306	0.6803	0	0.495	0.411	0.4117	0.5198	0.3716	0.6272	0.4484	0	0.4125	0	0.4782	0.3392	0.595	0.6883	0.447	0.4996	0	0.4686	0.8143	0.6452	0.6969	0.3851	0.5444
0.5283	0.5444	0.4115	0.3533	0.462	0.4189	0.3782	0	0	0.562	0.6471	0.5171	0	0.3753	0	0.3348	0	0.4906	0	0	0.5931	0.689	0	0.3656	0.5724	0.5295	0	0.3838	0	0	0.4026	0	0.4862	0.3489	0	0.4535	0	0.3712	0	0.4607	0.4401	0.3479	0.3554	0	0.6048	0.6495	0.6061	0.5435	0.6093	1
0.5146	0.5303	0.4755	0.504	0.45	0.4198	0.3675	0	0	0.6478	0.6309	0.5036	0	0.7318	0.3819	0	0	0.5673	0	0.573	0.4461	0.7831	0.561	0.4214	0.6594	0.6115	0	0.4429	0	0	0.465	0	0.5622	0.3402	0.5218	0.8543	0	0.428	0.3799	0.8574	0.5089	0.4004	0	0	0.9849	0.6333	0.4877	0.5294	0.3459	0.6808
