0	0.5015	0	0	0	0	1	0.4925	0.4331	0	0.5919	0.503	0.5282	0.9286	0.3693	0	0	0.4135	0.5593	0.538	0.4349	0	0.4881	0	0
0	0.6588	0.4268	0.4209	0.4198	0	0.9286	0.6457	0.5709	0.3815	0.7658	0.6606	0.6916	1	0.4855	0.4197	0.4189	0.5451	0.7286	0.7034	0.5734	0.3444	0.642	0	0
0.5612	0.4597	0.7061	0.5723	0.7273	0.4551	0.5712	0.9784	0.6876	0.6649	0.4433	0.8858	0.8771	0.7405	0.8043	0.7457	0.7444	0	0.6613	0.9927	0.6908	0.5701	0.4546	0.3784	0.5958
0.5151	0.4423	0.6517	0.5504	0.7831	0.4179	0.538	0.9478	0.7431	0.7198	0.4089	0.8347	0.9232	0.7034	0.7488	0.6902	0.689	0	0.7161	1	0.7463	0.5234	0.4889	0.4115	0.5472
0.3937	0.3399	0.4991	0.4203	0.6115	0	0.4109	0.7965	0.5756	0.5555	0.3761	0.6613	0.7619	0.5415	0.5806	0.7332	0.5295	0	0.8858	0.9317	0.5784	0.5329	0.639	0	0.4178
0	0.3351	0	1	0.8543	0	0	0.4934	0	0	0	0.4005	0.413	0.4209	0.3517	0.3536	0.4535	0	0	0.5504	0	0.4175	0	0.4773	0
0.4252	0.4135	0.6382	0.4542	0.6594	0.3467	0.6409	0.8457	0.8647	0.6001	0.488	0.7111	0.9628	0.8182	0.6268	0.5735	0.5724	0.3427	0.5967	0.9643	0.8673	0.5479	0.4039	0.3416	0.4515
0.7643	0.3337	0.5132	0.4125	0.5303	0	0.4117	0.8143	0.4986	0.481	0	0.6788	0.6691	0.5411	0.5967	0.9389	0.5444	0	0.4782	0.8531	0.501	0.411	0	0	0.4295
0	0	0.4157	0.4535	0.6808	0	0	0.6495	0.5931	0.3733	0	0.5283	0.5202	0.4189	0.462	0.4222	1	0	0.3712	0.689	0.3883	0	0	0	0.3348
0	0	0.3874	0.8543	1	0	0	0.6333	0.4461	0.4305	0	0.5146	0.6011	0.4198	0.45	0.5314	0.6808	0	0.428	0.7831	0.4483	0	0	0	0
0.3757	0.6073	0.4756	0.7324	0.5833	0	0.5829	0.7654	0.5487	0.5294	0.4429	0.6315	0.7306	0.7557	0.5535	0.5056	0.5046	0	0.5264	0.9077	0.5514	0.3815	0.3663	0	0.3985
0	0.4491	0	0	0.4495	0	0.4836	0.4278	0.3902	0	0.3685	0.3486	0.3436	0.6363	0	0	0.8488	0	0.3488	0.4552	0	0	0	0	0
0	0.3612	0.3507	0	0.428	0	0.5593	0.5723	0.4028	0.3889	0.4249	0.464	0.5426	0.7286	0.4063	0.5192	0.3712	0	1	0.7161	0.4047	0.3735	0.4477	0	0
0.3442	0	0.4343	0.5974	0.8574	0	0.3588	0.7063	0.501	0.4833	0	0.5776	0.6721	0.4711	0.5054	0.4616	0.4607	0.4265	0.4805	0.856	0.5181	0.4473	0	0	0.3647
0	0	0.3506	0.563	0.3739	0	0.352	0.4967	0.4982	0.3392	0	0.403	0.607	0.4619	0.3539	0	0	0	0.3373	0.6266	0.5004	0.9173	0	0	0
0	0	0.4331	0	0.4483	0	0.4349	0.5992	0.6176	0.407	0	0.4861	0.7433	0.5734	0.5661	0.3891	0.3883	0	0.4047	0.7463	1	0.3719	0	0	0
0.4819	0.3953	0.6111	0.4915	0.6309	0.3914	0.5091	0.9168	0.5941	0.5734	0.3874	0.7926	0.7826	0.6682	0.8961	0.6483	0.6471	0	0.5701	0.9461	0.5969	0.6613	0.391	0.4054	0.512
0	0.3522	0	0	0	0	0.5449	0.4829	0.3829	0	0.4141	0.3921	0.4661	0.7116	0.8663	0	0	0	0.3914	0.5141	0.8111	0	0.3432	0	0
0	0	0	0	0	0.3552	0.4881	0.3925	0	0	0.7767	0	0.3679	0.642	0	0.4146	0	0.6481	0.4477	0.4889	0	0	1	0	0
0	0	0	0.9015	0.6439	0	0	0.3564	0	0	0	0	0	0	0	0	0	0	0	0.3962	0	0	0	0.6612	0
0	0	0.383	0.6166	0.8764	0	0.3847	0.5292	0.546	0.3603	0	0.429	0.6632	0.5063	0.3762	0.3665	0.4708	0	0.3583	0.6657	0.5484	0	0	0	0
0.455	0.3738	0.5775	0.5494	0.7208	0.5613	0.4631	0.8859	0.5612	0.5415	0.3608	0.7553	0.7453	0.6084	0.669	0.6133	0.6121	0	0.5384	0.9193	0.564	0.4623	0.3697	0	0.4833
0.3729	0	0.472	0.3801	0.4877	0	0.3933	0.7604	0.4586	0.4425	0	0.6268	0.6175	0.518	0.7349	0.5018	0.6061	0	0.4399	0.8009	0.4608	0.5123	0	0	0.3955
0	0	0.4166	0.337	0.4304	0	0.4065	0.6794	0.5775	0.391	0.7467	0.554	0.699	0.5357	0.4845	0.4427	0.4418	0	0.3888	0.7196	0.58	0.3483	0.4442	0	0.3503
0	0	0	0.7797	0.5285	0	0.3773	0.4857	0.3436	0	0	0.3943	0.4604	0.4963	0.3464	0	0	0	0	0.6132	0.3452	0	0	0	0
0	0	0	0	0	0.5627	0	0.4575	0	0	0.4991	0.372	0.3665	0.4048	0.4399	0	0	0.4088	0	0.487	0	0	0.8218	0.5263	0
0	0	0	0	0	0	0.368	0.5216	0	0	0.5964	0.423	0.4166	0.4836	0.371	0.3401	0.3395	0.4885	0.3387	0.5553	0	0	0.9241	0	0
0	0	0	0	0.3371	0	0	0.531	0.462	0	0	0.4305	0.5636	0.4334	0.3774	0.3459	0.3453	0	0	0.5659	0.464	0	0	0	0
0	0	0	0.4175	0	0	0	0.4916	0.3703	0	0	0.399	0.4503	0.3444	0.4726	0	0	0	0.3735	0.5234	0.3719	1	0	0	0
0.3869	0.3419	0.5259	0.413	0.6011	0	0.5282	0.7852	0.7404	0.5458	0.4015	0.6502	1	0.6916	0.5705	0.5213	0.5202	0	0.5426	0.9232	0.7433	0.4503	0.3679	0	0.4106
0	0	0	0	0	0	0	0	0	0	0	0	0	0.3692	0	0	0.5136	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.4135	0	0	0	0.3816	0.3859	0	0.5451	0	0	0	1	0	0	0	0	0.6481	0	0
0.7309	0.8384	1	0	0.3874	0	0	0.6135	0.8867	0.3915	0	0.498	0.5259	0.4268	0.4356	0.3983	0.4157	0	0.3507	0.6517	0.4331	0	0	0	0
0	0.8143	0.5434	0.5357	0.4214	0	0.7875	0.5635	0.4485	0.383	0.6127	0.521	0.5471	0.9446	0.4001	0.3663	0.3656	0.4281	0.5792	0.7059	0.4504	0	0.5056	0	0
0	0	0	0.3804	0.573	0	0	0.4524	0	0	0	0.368	0.4289	0	0	0	0	0	0	0.5717	0	0.3888	0	0	0
