0.5282	0.538	0.4881	0.5091	0.9286
0.6916	0.7034	0.642	0.6682	1
0.8771	0.9927	0.4546	0.9772	0.7405
0.9232	1	0.4889	0.9461	0.7034
0.7619	0.9317	0.639	0.794	0.5415
0.413	0.5504	0	0.4915	0.4209
0.9628	0.9643	0.4039	0.8433	0.8182
0.6691	0.8531	0	0.8118	0.5411
0.5202	0.689	0	0.6471	0.4189
0.6011	0.7831	0	0.6309	0.4198
0.7306	0.9077	0.3663	0.7629	0.7557
0.3436	0.4552	0	0.4261	0.6363
0.5426	0.7161	0.4477	0.5701	0.7286
0.6721	0.856	0	0.7038	0.4711
0.607	0.6266	0	0.4947	0.4619
0.7433	0.7463	0	0.5969	0.5734
0.7826	0.9461	0.391	1	0.6682
0.4661	0.5141	0.3432	0.6502	0.7116
0.3679	0.4889	1	0.391	0.642
0	0.3962	0	0.3551	0
0.6632	0.6657	0	0.5271	0.5063
0.7453	0.9193	0.3697	0.8837	0.6084
0.6175	0.8009	0	0.9367	0.518
0.699	0.7196	0.4442	0.677	0.5357
0.4604	0.6132	0	0.4838	0.4963
0.3665	0.487	0.8218	0.6171	0.4048
0.4166	0.5553	0.9241	0.5196	0.4836
0.5636	0.5659	0	0.5289	0.4334
0.4503	0.5234	0	0.6613	0.3444
1	0.9232	0.3679	0.7826	0.6916
0	0	0	0	0.3692
0	0	0.6481	0	0.5451
0.5259	0.6517	0	0.6111	0.4268
0.5471	0.7059	0.5056	0.5613	0.9446
0.4289	0.5717	0	0.4506	0
0.4477	0.5567	0	0.521	0.3646
0.6783	0.862	0.4562	0.9746	0.5713
0.3577	0.4749	0	0.6021	0
0.4223	0.563	0	0.7078	0.3553
0.7404	0.7431	0	0.5941	0.5709
0.7065	0.8875	0.69	0.7387	0.4973
0.3419	0.4423	0	0.3953	0.6588
0.4769	0.4858	0.4408	0.4597	0.8741
0.5213	0.6902	0.4146	0.6483	0.4197
0.7123	0.8925	0.3478	0.7446	0.5018
0.8004	0.9574	0.3966	0.8318	0.7777
0.7852	0.9478	0.3925	0.9168	0.6457
0.5065	0.672	0	0.8253	0.4244
0.4758	0.4846	0.8824	0.4587	0.8728
0.5993	0.7812	0	0.7713	0.5789
0.4583	0.6105	0	0.5718	0.3701
0.4017	0.5351	0	0.4218	0
0.6434	0.8278	0.6276	0.6745	0.45
0	0.4376	0	0.5552	0
0.4396	0.5859	0.364	0.4619	0.6235
0.3869	0.5151	0	0.4819	0
0.3583	0.4756	0	0.4451	0
0.3808	0.3876	0.3528	0.3674	0.7304
0.6397	0.6425	0	0.5078	0.4875
0.4875	0.6481	0.4027	0.5124	0.3423
0	0	0	0	0
0.4286	0.5713	0	0.7174	0.3604
0	0.3457	0.3935	0	0.3871
0	0	0	0	0.4542
0.5317	0.703	0	0.5588	0.3943
0.4063	0.5414	0	0.4856	0
0.3737	0.401	0	0.5083	0
0.5793	0.5899	0.5356	0.5586	0.9671
0.5894	0.7702	0	0.6188	0.4116
0.5461	0.7202	0.4008	0.5738	0.5273
0.4015	0.4089	0.7767	0.3874	0.7658
0.5119	0.6787	0	0.6371	0.4122
0	0.4115	0	0.4054	0
0.9648	0.8131	0	0.6598	0.5755
0.5155	0.6832	0	0.5418	0.361
0	0	0	0	0.5964
0.914	0.7384	0	0.5899	0.5129
0.4643	0.6183	0	0.7696	0.3896
0.7489	0.9221	0.4923	0.7812	0.5308
0.637	0.8213	0	0.7787	0.5139
0	0.385	0.669	0.4875	0
0.4676	0.4763	0.4323	0.4508	0.8625
0.4934	0.4955	0	0.4325	0.3761
0.6703	0.6728	0	0.5331	0.512
0.668	0.8521	0	0.8107	0.5402
0.6502	0.8347	0	0.7926	0.6606
0.5999	0.4502	0	0.3564	0
0.4358	0.5808	0	0.4579	0
0	0.4179	0.3552	0.3914	0
0.3689	0.4903	0	0.6211	0
0.5705	0.7488	0	0.8961	0.4855
0.3901	0.5193	0	0.4637	0.3974
0.391	0.4536	0	0.5755	0
0.4533	0.5725	0	0.4513	0.3466
0.5458	0.7198	0	0.5734	0.3815
0.5438	0.7174	0	0.8686	0.4554
0.4106	0.5472	0	0.512	0
0.761	0.5812	0	0.4582	0.3986
0.6024	0.7846	0	0.6323	0.4207
0.392	0.5097	0.3631	0.4021	0.7499
30	4	19	17	2
