0.9286	0	0.4109	0	0	0.538	0.6971	0	0	0
1	0	0.5415	0	0	0.7034	0.8728	0.4209	0	0.4268
0.7405	0.5343	0.8871	0.4188	0	0.9927	0.5133	0.5723	0.5958	0.7061
0.7034	0.4903	0.9317	0.385	0	1	0.4846	0.5504	0.5472	0.6517
0.5415	0.3753	1	0	0	0.9317	0.445	0.4203	0.4178	0.4991
0.4209	0.4909	0.4203	0	0	0.5504	0	1	0	0
0.8182	0.405	0.8234	0	0	0.9643	0.5788	0.4542	0.4515	0.6382
0.5411	0.3855	0.6803	0	0	0.8531	0.3708	0.4125	0.4295	0.5132
0.4189	0.3753	0.5295	0	0	0.689	0	0.4535	0.3348	0.4157
0.4198	0.7318	0.6115	0	0	0.7831	0	0.8543	0	0.3874
0.7557	0.3582	0.742	0	0	0.9077	0.5254	0.7324	0.3985	0.4756
0.6363	0	0.3494	0	0	0.4552	0.4358	0	0	0
0.7286	0	0.8858	0	0	0.7161	0.504	0	0	0.3507
0.4711	0.4934	0.6833	0	0	0.856	0	0.5974	0.3647	0.4343
0.4619	0	0.4791	0	0	0.6266	0	0.563	0	0.3506
0.5734	0	0.5784	0	0	0.7463	0.3924	0	0	0.4331
0.6682	0.6211	0.794	0.4875	0	0.9461	0.4587	0.4915	0.512	0.6111
0.7116	0	0.393	0	0	0.5141	0.4909	0	0	0
0.642	0	0.639	0.669	0	0.4889	0.8824	0	0	0
0	0.3546	0	0	0	0.3962	0	0.9015	0	0
0.5063	0.6502	0.5105	0	0	0.6657	0.3478	0.6166	0	0.383
0.6084	0.4332	0.7568	0.3416	0	0.9193	0.4163	0.5494	0.4833	0.5775
0.518	0.4799	0.6282	0.377	0	0.8009	0.3555	0.3801	0.3955	0.472
0.5357	0	0.5553	0	0	0.7196	0.6377	0.337	0.3503	0.4166
0.4963	0	0.4686	0	0	0.6132	0.3413	0.7797	0	0
0.4048	0	0.4029	0.9465	0	0.487	0.5917	0	0	0
0.4836	0	0.4813	0.5051	0	0.5553	0.702	0	0	0
0.4334	0	0.432	0	0	0.5659	0	0	0	0
0.3444	0	0.5329	0	0	0.5234	0	0.4175	0	0
0.6916	0.3689	0.7619	0	0	0.9232	0.4758	0.413	0.4106	0.5259
0.3692	0	0	0	0	0	0	0	0	0
0.5451	0	0	0	0.6508	0	0.4517	0	0	0
0.4268	0	0.4991	0	0	0.6517	0	0	0	1
0.9446	0	0.5437	0	0	0.7059	0.7198	0.5357	0	0.5434
0	0	0.4365	0	0	0.5717	0	0.3804	0	0
0.3646	0	0.4251	0	0	0.5567	0	0	0	0.9747
0.5713	0.5295	0.6896	0.5727	0	0.862	0.391	0.4185	0.4358	0.5208
0	0	0.3638	0	0	0.4749	0	0	0	0.6575
0.3553	0	0.4298	0.3561	0	0.563	0	0	0	0
0.5709	0	0.5756	0	0	0.7431	0.3907	0	0	0.8867
0.4973	0.3457	0.9928	0.3464	0	0.8875	0.4827	0.3865	0.3843	0.4583
0.6588	0	0.3399	0	0	0.4423	0.4518	0.3351	0	0.8384
0.8741	0	0.3719	0	0	0.4858	0.6331	0.4265	0	0
0.4197	0	0.7332	0	0	0.6902	0	0.3536	0.3354	0.3983
0.5018	0.3487	0.7238	0	0	0.8925	0.3449	0.3899	0.3877	0.6652
0.7777	0.3977	0.8117	0	0	0.9574	0.5435	0.4459	0.4433	0.5298
0.6457	0.4605	0.7965	0.3623	0	0.9478	0.4425	0.4934	0.514	0.6135
0.4244	0.544	0.5155	0	0	0.672	0	0.6566	0	0.3873
0.8728	0	0.445	0.467	0	0.4846	1	0	0	0
0.5789	0.3627	0.6098	0.3451	0	0.7812	0.3961	0	0	0.3863
0.3701	0	0.4665	0	0	0.6105	0	0.8602	0	0.3517
0	0	0.4087	0	0	0.5351	0	0.6217	0	0
0.45	0	0.9668	0	0	0.8278	0.4369	0.351	0.349	0.415
0	0	0.3364	0	0	0.4376	0	0	0	0
0.6235	0	0.7548	0	0	0.5859	0.4268	0	0	0
0	0	0.3937	0	0	0.5151	0	0	0	0.7309
0	0.4245	0.5084	0	0	0.4756	0.409	0.5142	0	0
0.7304	0	0	0	0	0.3876	0.5054	0	0	0
0.4875	0	0.4918	0	0	0.6425	0.3356	0	0	0.3692
0.3423	0	0.8215	0	0	0.6481	0	0	0	0
0	0	0	0	1	0	0	0	0	0
0.3604	0.3351	0.4362	0	0	0.5713	0	0	0	0
0.3871	0	0.3685	0	0	0.3457	0.5655	0.3726	0	0
0.4542	0	0	0	0	0	0	0	0	0.6006
0.3943	0.8117	0.5412	0	0	0.703	0	0.7764	0	0.3439
0	0.5003	0.4135	0	0	0.5414	0	0.6056	0	0
